A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
        81,  2000/1/1,    0:1:44,      0.00,    0,              0,              0,       453,       144,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.11,47.45,101.92,101.92
        82,  2000/1/1,    0:1:45,      0.00,    0,              0,              0,       402,       127,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.11,47.06,101.92,101.92
        83,  2000/1/1,    0:1:46,      0.00,    0,              0,              0,       402,       127,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.12,46.85,101.92,101.92
        84,  2000/1/1,    0:1:47,      0.00,    0,              0,              0,       414,       134,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.12,47.10,101.92,101.92
        85,  2000/1/1,    0:1:48,      0.00,    0,              0,              0,       414,       134,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.13,47.36,101.92,101.92
        86,  2000/1/1,    0:1:49,      0.00,    0,              0,              0,       414,       134,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.14,46.86,101.92,101.92
        87,  2000/1/1,    0:1:50,      0.00,    0,              0,              0,       396,       128,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.14,46.20,101.92,101.92
        88,  2000/1/1,    0:1:51,      0.00,    0,              0,              0,       396,       128,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.15,46.38,101.92,101.92
        89,  2000/1/1,    0:1:52,      0.00,    0,              0,              0,       357,       115,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.16,45.64,101.92,101.92
        90,  2000/1/1,    0:1:53,      0.00,    0,              0,              0,       357,       115,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.16,45.10,101.92,101.92
        91,  2000/1/1,    0:1:54,      0.00,    0,              0,              0,       327,       105,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,     27.17,44.78,101.92,101.92
        92,  2000/1/1,    0:1:55,      0.00,    0,              0,              0,       336,       108,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,     27.18,44.53,101.92,101.92
        93,  2000/1/1,    0:1:56,      0.00,    0,              0,              0,       336,       108,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,     27.18,43.83,101.92,101.92
        94,  2000/1/1,    0:1:57,      0.00,    0,              0,              0,       375,       121,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.19,43.97,101.92,101.92
        95,  2000/1/1,    0:1:58,      0.00,    0,              0,              0,       375,       121,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.19,43.76,101.92,101.92
        96,  2000/1/1,    0:1:59,      0.00,    0,              0,              0,       366,       118,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.20,43.47,101.92,101.92
        97,  2000/1/1,     0:2:3,      0.00,    0,              0,              0,       435,       145,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.21,43.31,101.92,101.92
        98,  2000/1/1,     0:2:4,      0.00,    0,              0,              0,       423,       141,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.21,43.37,101.92,101.92
        99,  2000/1/1,     0:2:5,      0.00,    0,              0,              0,       423,       141,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.22,43.22,101.92,101.92
       100,  2000/1/1,     0:2:6,      0.00,    0,              0,              0,       462,       154,         6,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.23,43.52,101.92,101.92
