A5A5A5A5A5A5,,,,,,,,,,,,,,,,,,,,,,
Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
143,  2000/1/1,    0:2:53,0,0,0,0,612,196,31,6,3,3,3,4,7,3,4,7,27.22,37.82,101.83,101.83
144,  2000/1/1,    0:2:54,0,0,0,0,624,200,31,6,3,3,3,4,7,3,4,7,27.23,37.55,101.83,101.83
145,  2000/1/1,    0:2:55,0,0,0,0,645,211,31,6,0,0,3,5,5,3,5,5,27.23,36.78,101.83,101.83
146,  2000/1/1,    0:2:56,0,0,0,0,909,291,89,9,3,3,5,10,13,5,10,13,27.24,36.79,101.83,101.83
147,  2000/1/1,    0:2:57,0,0,0,0,876,280,100,9,3,3,4,10,13,4,10,13,27.24,38,101.83,101.83
148,  2000/1/1,    0:2:58,0,0,0,0,819,261,89,6,3,3,4,8,11,4,8,11,27.25,38.23,101.83,101.83
149,  2000/1/1,    0:2:59,0,0,0,0,795,257,92,9,3,3,4,9,11,4,9,11,27.26,38.13,101.83,101.83
150,  2000/1/1,     0:3:0,0,0,0,0,831,269,95,9,3,3,4,9,12,4,9,12,27.26,37.32,101.82,101.82
151,  2000/1/1,     0:3:4,0,0,0,0,945,307,84,12,6,6,4,9,15,4,9,15,27.27,36.53,101.82,101.82
152,  2000/1/1,     0:3:5,0,0,0,0,945,307,84,12,6,6,4,9,15,4,9,15,27.27,34.77,101.82,101.82
153,  2000/1/1,     0:3:6,0,0,0,0,876,284,81,9,6,6,4,8,14,4,8,14,27.28,34.46,101.82,101.82
154,  2000/1/1,     0:3:7,0,0,0,0,876,284,81,9,6,6,4,8,14,4,8,14,27.27,34.19,101.82,101.82
155,  2000/1/1,     0:3:8,0,0,0,0,783,261,70,6,3,3,5,8,11,5,8,11,27.26,34.11,101.83,101.83
156,  2000/1/1,     0:3:9,0,0,0,0,552,184,20,6,3,3,3,4,7,3,4,7,27.26,34.13,101.83,101.83
157,  2000/1/1,    0:3:10,0,0,0,0,552,184,20,6,3,3,3,4,7,3,4,7,27.26,34.23,101.83,101.83
158,  2000/1/1,    0:3:11,0,0,0,0,609,199,9,6,3,3,3,4,7,3,4,7,27.26,34.37,101.83,101.83
159,  2000/1/1,    0:3:12,0,0,0,0,609,199,9,6,3,3,3,4,7,3,4,7,27.26,34.45,101.83,101.83
160,  2000/1/1,    0:3:13,0,0,0,0,630,206,16,6,3,3,3,4,7,3,4,7,27.26,34.5,101.83,101.83
161,  2000/1/1,    0:3:14,0,0,0,0,723,233,16,3,3,3,3,3,6,3,3,6,27.26,34.38,101.83,101.83
162,  2000/1/1,    0:3:15,0,0,0,0,723,233,16,3,3,3,3,3,6,3,3,6,27.26,34.61,101.83,101.83
163,  2000/1/1,    0:3:16,0,0,0,0,699,225,13,3,3,3,3,3,6,3,3,6,27.27,34.68,101.83,101.83
164,  2000/1/1,    0:3:17,0,0,0,0,699,225,13,3,3,3,3,3,6,3,3,6,27.27,34.31,101.83,101.83
165,  2000/1/1,    0:3:18,0,0,0,0,618,198,13,3,3,0,2,3,4,2,3,4,27.27,34.09,101.83,101.83
166,  2000/1/1,    0:3:19,0,0,0,0,630,198,16,3,3,0,2,3,5,2,3,5,27.28,34.03,101.83,101.83
167,  2000/1/1,    0:3:20,0,0,0,0,630,198,16,3,3,0,2,3,5,2,3,5,27.28,33.96,101.83,101.83
168,  2000/1/1,    0:3:21,0,0,0,0,573,179,19,3,3,0,2,2,4,2,2,4,27.28,33.75,101.83,101.83
169,  2000/1/1,    0:3:22,0,0,0,0,573,179,19,3,3,0,2,2,4,2,2,4,27.28,33.76,101.83,101.83
170,  2000/1/1,    0:3:23,0,0,0,0,678,214,22,3,3,0,4,4,6,4,4,6,27.28,33.63,101.83,101.83
171,  2000/1/1,    0:3:24,0,0,0,0,678,214,22,3,3,0,4,4,6,4,4,6,27.28,33.65,101.83,101.83
172,  2000/1/1,    0:3:25,0,0,0,0,816,260,33,3,3,0,5,6,8,5,6,8,27.28,33.65,101.83,101.83
173,  2000/1/1,    0:3:26,0,0,0,0,852,272,36,3,3,0,6,7,9,6,7,9,27.29,33.59,101.83,101.83
174,  2000/1/1,    0:3:27,0,0,0,0,852,272,36,3,3,0,6,7,9,6,7,9,27.29,33.83,101.83,101.83
175,  2000/1/1,    0:3:28,0,0,0,0,804,257,36,3,3,0,5,6,8,5,6,8,27.29,34.16,101.83,101.83
176,  2000/1/1,    0:3:29,0,0,0,0,804,257,36,3,3,0,5,6,8,5,6,8,27.3,34.17,101.83,101.83
177,  2000/1/1,    0:3:30,0,0,0,0,804,250,29,3,3,0,5,6,8,5,6,8,27.3,33.92,101.83,101.83
178,  2000/1/1,    0:3:34,0,0,0,0,825,258,26,3,3,0,5,6,8,5,6,8,27.31,33.79,101.83,101.83
179,  2000/1/1,    0:3:35,0,0,0,0,813,254,23,0,0,0,4,5,5,4,5,5,27.31,33.47,101.83,101.83
