dt,S1,S2,S3,S5,S6,network_min,network_max,network_mean,network_range
2025-07-04 20:03:19,3.0,3.0,2.0,0.5,2.0,0.5,3.0,2.1,2.5
2025-07-04 20:03:20,3.0,2.0,2.0,0.5,2.0,0.5,3.0,1.9,2.5
2025-07-04 20:03:21,3.0,2.0,1.0,0.5,2.0,0.5,3.0,1.7,2.5
2025-07-04 20:03:22,2.0,3.0,1.0,0.5,2.0,0.5,3.0,1.7,2.5
2025-07-04 20:03:23,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
2025-07-04 20:03:24,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.8,2.0
2025-07-04 20:03:25,1.0,4.0,2.0,0.5,1.0,0.5,4.0,1.7,3.5
2025-07-04 20:03:26,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.8,4.0
2025-07-04 20:03:27,1.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0
2025-07-04 20:03:28,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.8,3.0
2025-07-04 20:03:29,1.0,3.0,1.0,0.5,2.0,0.5,3.0,1.5,2.5
2025-07-04 20:03:30,1.0,4.0,1.0,0.5,1.0,0.5,4.0,1.5,3.5
2025-07-04 20:03:31,1.0,4.0,1.0,0.5,1.0,0.5,4.0,1.5,3.5
2025-07-04 20:03:32,1.0,4.0,1.0,0.5,3.0,0.5,4.0,1.9,3.5
2025-07-04 20:03:33,2.0,4.0,1.0,0.5,2.0,0.5,4.0,1.9,3.5
2025-07-04 20:03:34,2.0,4.0,1.0,0.5,2.0,0.5,4.0,1.9,3.5
2025-07-04 20:03:35,3.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0
2025-07-04 20:03:36,3.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0
2025-07-04 20:03:37,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.8,2.0
2025-07-04 20:03:38,3.0,3.0,1.0,0.5,1.0,0.5,3.0,1.7,2.5
2025-07-04 20:03:39,3.0,3.0,1.0,0.5,1.0,0.5,3.0,1.7,2.5
2025-07-04 20:03:40,3.0,3.0,1.0,0.5,1.0,0.5,3.0,1.7,2.5
2025-07-04 20:03:41,2.0,3.0,1.0,0.5,1.0,0.5,3.0,1.5,2.5
2025-07-04 20:03:42,2.0,3.0,2.0,0.5,2.0,0.5,3.0,1.9,2.5
2025-07-04 20:03:43,3.0,3.0,2.0,0.5,1.0,0.5,3.0,1.9,2.5
2025-07-04 20:03:44,3.0,4.0,2.0,0.5,1.0,0.5,4.0,2.1,3.5
2025-07-04 20:03:45,4.0,4.0,2.0,0.5,1.0,0.5,4.0,2.3,3.5
2025-07-04 20:03:46,4.0,4.0,2.0,0.5,1.0,0.5,4.0,2.3,3.5
2025-07-04 20:03:47,4.0,2.0,2.0,0.5,2.0,0.5,4.0,2.1,3.5
2025-07-04 20:03:48,3.0,2.0,2.0,0.5,2.0,0.5,3.0,1.9,2.5
2025-07-04 20:03:49,3.0,2.0,2.0,0.5,2.0,0.5,3.0,1.9,2.5
2025-07-04 20:03:50,5.0,3.0,1.0,0.5,2.0,0.5,5.0,2.3,4.5
2025-07-04 20:03:51,5.0,3.0,1.0,0.5,2.0,0.5,5.0,2.3,4.5
2025-07-04 20:03:52,6.0,2.0,1.0,0.5,2.0,0.5,6.0,2.3,5.5
2025-07-04 20:03:53,6.0,2.0,1.0,0.5,2.0,0.5,6.0,2.3,5.5
2025-07-04 20:03:54,7.0,1.0,1.0,0.5,1.0,0.5,7.0,2.1,6.5
2025-07-04 20:03:55,8.0,1.0,1.0,0.5,1.0,0.5,8.0,2.3,7.5
2025-07-04 20:03:56,8.0,4.0,1.0,0.5,2.0,0.5,8.0,3.1,7.5
2025-07-04 20:03:57,9.0,5.0,1.0,0.5,1.0,0.5,9.0,3.3,8.5
2025-07-04 20:03:58,9.0,5.0,1.0,0.5,1.0,0.5,9.0,3.3,8.5
2025-07-04 20:03:59,9.0,6.0,0.0,0.5,1.0,0.0,9.0,3.3,9.0
2025-07-04 20:04:00,12.0,6.0,0.0,0.5,1.0,0.0,12.0,3.9,12.0
2025-07-04 20:04:01,14.0,6.0,1.0,0.5,1.0,0.5,14.0,4.5,13.5
2025-07-04 20:04:02,16.0,6.0,1.0,0.5,1.0,0.5,16.0,4.9,15.5
2025-07-04 20:04:03,18.0,6.0,1.0,0.0,1.0,0.0,18.0,5.2,18.0
2025-07-04 20:04:04,18.0,6.0,1.0,0.0,2.0,0.0,18.0,5.4,18.0
2025-07-04 20:04:05,18.0,4.0,1.0,0.5,2.0,0.5,18.0,5.1,17.5
2025-07-04 20:04:06,21.0,5.0,1.0,0.5,2.0,0.5,21.0,5.9,20.5
2025-07-04 20:04:07,21.0,5.0,1.0,0.5,2.0,0.5,21.0,5.9,20.5
2025-07-04 20:04:08,24.0,5.0,1.0,0.5,2.0,0.5,24.0,6.5,23.5
2025-07-04 20:04:09,22.0,5.0,1.0,0.5,2.0,0.5,22.0,6.1,21.5
2025-07-04 20:04:10,23.0,5.0,1.0,0.5,2.0,0.5,23.0,6.3,22.5
2025-07-04 20:04:11,21.0,4.0,2.0,0.5,2.0,0.5,21.0,5.9,20.5
2025-07-04 20:04:12,21.0,4.0,2.0,0.5,2.0,0.5,21.0,5.9,20.5
2025-07-04 20:04:13,20.0,4.0,1.0,0.5,2.0,0.5,20.0,5.5,19.5
2025-07-04 20:04:14,22.0,4.0,2.0,0.5,2.0,0.5,22.0,6.1,21.5
2025-07-04 20:04:15,23.0,3.0,2.0,0.5,2.0,0.5,23.0,6.1,22.5
2025-07-04 20:04:16,20.0,4.0,2.0,0.5,2.0,0.5,20.0,5.7,19.5
2025-07-04 20:04:17,21.0,4.0,2.0,1.0,2.0,1.0,21.0,6.0,20.0
2025-07-04 20:04:18,21.0,3.0,2.0,1.0,2.0,1.0,21.0,5.8,20.0
2025-07-04 20:04:19,22.0,3.0,2.0,1.0,2.0,1.0,22.0,6.0,21.0
2025-07-04 20:04:20,21.0,3.0,3.0,1.0,2.0,1.0,21.0,6.0,20.0
2025-07-04 20:04:21,22.0,3.0,2.0,1.5,2.0,1.5,22.0,6.1,20.5
2025-07-04 20:04:22,22.0,3.0,2.0,1.5,2.0,1.5,22.0,6.1,20.5
2025-07-04 20:04:23,23.0,3.0,2.0,2.0,2.0,2.0,23.0,6.4,21.0
2025-07-04 20:04:24,24.0,2.0,2.0,1.5,2.0,1.5,24.0,6.3,22.5
2025-07-04 20:04:25,24.0,3.0,2.0,1.5,2.0,1.5,24.0,6.5,22.5
2025-07-04 20:04:26,24.0,3.0,2.0,1.0,2.0,1.0,24.0,6.4,23.0
2025-07-04 20:04:27,27.0,3.0,2.0,1.0,2.0,1.0,27.0,7.0,26.0
2025-07-04 20:04:28,32.0,3.0,2.0,1.0,2.0,1.0,32.0,8.0,31.0
2025-07-04 20:04:29,37.0,4.0,2.0,1.0,2.0,1.0,37.0,9.2,36.0
2025-07-04 20:04:30,41.0,3.0,2.0,1.0,2.0,1.0,41.0,9.8,40.0
2025-07-04 20:04:31,44.0,3.0,2.0,1.5,2.0,1.5,44.0,10.5,42.5
2025-07-04 20:04:32,45.0,3.0,1.0,1.5,2.0,1.0,45.0,10.5,44.0
2025-07-04 20:04:33,46.0,3.0,2.0,1.5,2.0,1.5,46.0,10.9,44.5
2025-07-04 20:04:34,47.0,3.0,2.0,1.0,2.0,1.0,47.0,11.0,46.0
2025-07-04 20:04:35,50.0,3.0,2.0,1.5,2.0,1.5,50.0,11.7,48.5
2025-07-04 20:04:36,51.0,3.0,2.0,1.5,2.0,1.5,51.0,11.9,49.5
2025-07-04 20:04:37,50.0,3.0,2.0,1.0,1.0,1.0,50.0,11.4,49.0
2025-07-04 20:04:38,48.0,2.0,2.0,1.0,1.0,1.0,48.0,10.8,47.0
2025-07-04 20:04:39,46.0,2.0,2.0,1.5,1.0,1.0,46.0,10.5,45.0
2025-07-04 20:04:40,46.0,2.0,1.0,1.5,1.0,1.0,46.0,10.3,45.0
2025-07-04 20:04:41,45.0,2.0,1.0,2.0,1.0,1.0,45.0,10.2,44.0
