sigma0,K,tau,wrmse,scale
50.0,151.42857142857144,782.8571428571429,7.588664010674258,2990903.8098681243
50.0,151.42857142857144,948.5714285714287,7.471441945260275,3053913.649650646
50.0,151.42857142857144,1114.2857142857142,7.359248781242796,3090947.14267823
50.0,151.42857142857144,1280.0,7.254774112676776,3109870.9434207636
50.0,151.42857142857144,1445.7142857142858,7.159021157995374,3116459.025804027
50.0,151.42857142857144,1611.4285714285716,7.0720282596580795,3114804.217090952
50.0,151.42857142857144,1777.1428571428573,6.99333487342719,3107749.073478343
50.0,151.42857142857144,1942.857142857143,6.922257586660123,3097246.3460220397
50.0,151.42857142857144,2108.5714285714284,6.858043988000532,3084629.6333688125
50.0,151.42857142857144,2274.285714285714,6.799953431921499,3070806.139596808
50.0,151.42857142857144,2440.0,6.74729591540701,3056390.471202351
50.0,151.42857142857144,2605.714285714286,6.69944777077026,3041796.450593852
50.0,151.42857142857144,2771.4285714285716,6.655855008860262,3027299.8917298117
50.0,151.42857142857144,2937.1428571428573,6.616030445677958,3013081.55282892
50.0,151.42857142857144,3102.857142857143,6.57954801241338,2999256.616401032
50.0,151.42857142857144,3268.571428571429,6.546036086000913,2985895.0081593404
50.0,151.42857142857144,3434.2857142857147,6.515170794602474,2973035.466229376
50.0,151.42857142857144,3600.0,6.486669760390908,2960695.326349511
50.0,198.57142857142858,120.0,7.943787233618032,1916989.8089868168
50.0,198.57142857142858,285.7142857142857,7.900161077517813,2313699.979674299
50.0,198.57142857142858,451.42857142857144,7.819192222360674,2600821.5744158877
50.0,198.57142857142858,617.1428571428571,7.717637000311365,2795838.4988957252
50.0,198.57142857142858,782.8571428571429,7.60729139742248,2932556.445835586
50.0,198.57142857142858,948.5714285714287,7.496231267712206,3027415.0440880433
50.0,198.57142857142858,1114.2857142857142,7.3893762096677165,3091869.1679367325
50.0,198.57142857142858,1280.0,7.289287594459381,3134504.123057076
50.0,198.57142857142858,1445.7142857142858,7.1970007195849135,3161637.967605129
50.0,198.57142857142858,1611.4285714285716,7.112658700024492,3177823.1637346675
50.0,198.57142857142858,1777.1428571428573,7.0359278309857105,3186300.893098063
50.0,198.57142857142858,1942.857142857143,6.966248345456792,3189368.054322877
50.0,198.57142857142858,2108.5714285714284,6.902977631928773,3188652.1900880714
50.0,198.57142857142858,2274.285714285714,6.84546791608006,3185309.2646636753
50.0,198.57142857142858,2440.0,6.793105605292728,3180163.1227669395
50.0,198.57142857142858,2605.714285714286,6.745328882506195,3173803.0147271827
50.0,198.57142857142858,2771.4285714285716,6.701633340186754,3166651.6944112023
50.0,198.57142857142858,2937.1428571428573,6.661571314252565,3159013.0854712874
50.0,198.57142857142858,3102.857142857143,6.62474813333063,3151105.8034390137
50.0,198.57142857142858,3268.571428571429,6.590817074296789,3143086.871182046
50.0,198.57142857142858,3434.2857142857147,6.559473993760678,3135068.606565729
50.0,198.57142857142858,3600.0,6.53045213631347,3127130.7290899586
50.0,245.71428571428572,120.0,7.943137216425743,1844670.2801071575
50.0,245.71428571428572,285.7142857142857,7.900363563250821,2227081.914325763
50.0,245.71428571428572,451.42857142857144,7.823254847981449,2536375.218651687
50.0,245.71428571428572,617.1428571428571,7.727336291700385,2754571.2150751636
50.0,245.71428571428572,782.8571428571429,7.623358692709896,2912506.210464522
50.0,245.71428571428572,948.5714285714287,7.518637484550268,3026607.5474684522
50.0,245.71428571428572,1114.2857142857142,7.41765111383294,3108406.8032694925
50.0,245.71428571428572,1280.0,7.322766165246366,3166571.46205917
50.0,245.71428571428572,1445.7142857142858,7.234974248207771,3207539.6089751637
50.0,245.71428571428572,1611.4285714285716,7.154453821324551,3236014.8484555082
50.0,245.71428571428572,1777.1428571428573,7.080941051533988,3255402.557876254
50.0,245.71428571428572,1942.857142857143,7.013956085134229,3268162.0359412455
50.0,245.71428571428572,2108.5714285714284,6.952934050889191,3276072.469503701
50.0,245.71428571428572,2274.285714285714,6.8972974067702655,3280426.4807055243
50.0,245.71428571428572,2440.0,6.846493561842267,3282168.384720365
50.0,245.71428571428572,2605.714285714286,6.800012516404238,3281992.2103769863
50.0,245.71428571428572,2771.4285714285716,6.757393319689474,3280411.1216314714
50.0,245.71428571428572,2937.1428571428573,6.718224494508887,3277806.722400994
50.0,245.71428571428572,3102.857142857143,6.682141395617275,3274464.2517822785
50.0,245.71428571428572,3268.571428571429,6.648822182508998,3270597.867146257
50.0,245.71428571428572,3434.2857142857147,6.617983336774638,3266368.9342522775
50.0,245.71428571428572,3600.0,6.589375219763516,3261899.355085253
50.0,292.8571428571429,120.0,7.942420458591928,1829414.8111823911
50.0,292.8571428571429,285.7142857142857,7.900050627767907,2195025.8304628306
50.0,292.8571428571429,451.42857142857144,7.82609946500072,2513117.703234009
50.0,292.8571428571429,617.1428571428571,7.735064365822013,2744069.5440432997
