sigma0,K,tau,wrmse,scale
50.0,528.5714285714286,3268.571428571429,16.205140895094406,474685.3527617211
50.0,528.5714285714286,3434.2857142857147,16.204949183532083,476832.1971080272
50.0,528.5714285714286,3600.0,16.2047706595023,478769.502720707
50.0,575.7142857142858,120.0,16.21332667074918,234618.84255962167
50.0,575.7142857142858,285.7142857142857,16.21295562924114,264465.75284281466
50.0,575.7142857142858,451.42857142857144,16.212391508752248,305943.39013623
50.0,575.7142857142858,617.1428571428571,16.211743218361306,340124.26223518315
50.0,575.7142857142858,782.8571428571429,16.211076162069944,367622.9029650464
50.0,575.7142857142858,948.5714285714287,16.21042687961876,389795.78838634095
50.0,575.7142857142858,1114.2857142857142,16.20981395737309,407806.31103967165
50.0,575.7142857142858,1280.0,16.209245234977676,422571.18106011
50.0,575.7142857142858,1445.7142857142858,16.208722495218055,434794.7713381376
50.0,575.7142857142858,1611.4285714285716,16.20824432715375,445014.0685382304
50.0,575.7142857142858,1777.1428571428573,16.207807788325063,453638.6518484742
50.0,575.7142857142858,1942.857142857143,16.20740933334823,460982.47263497976
50.0,575.7142857142858,2108.5714285714284,16.207045313049157,467287.94688051566
50.0,575.7142857142858,2274.285714285714,16.206712228648282,472743.8465244992
50.0,575.7142857142858,2440.0,16.20640684902099,477498.4886820823
50.0,575.7142857142858,2605.714285714286,16.206126253103854,481669.4570503838
50.0,575.7142857142858,2771.4285714285716,16.20586783270538,485350.7949915034
50.0,575.7142857142858,2937.1428571428573,16.205629275550677,488618.36046572286
50.0,575.7142857142858,3102.857142857143,16.205408539568026,491533.8418876597
50.0,575.7142857142858,3268.571428571429,16.205203824401767,494147.7937838612
50.0,575.7142857142858,3434.2857142857147,16.205013543287315,496501.95035187353
50.0,575.7142857142858,3600.0,16.204836296821107,498631.0031828837
50.0,622.8571428571429,120.0,16.213319106909793,244346.36317441292
50.0,622.8571428571429,285.7142857142857,16.21294210845005,273346.27734863665
50.0,622.8571428571429,451.42857142857144,16.212378669243908,315729.96564999956
50.0,622.8571428571429,617.1428571428571,16.21173511522427,350994.0405190816
50.0,622.8571428571429,782.8571428571429,16.211074763921975,379519.15423934767
50.0,622.8571428571429,948.5714285714287,16.210432846098392,402617.19827492157
50.0,622.8571428571429,1114.2857142857142,16.2098272139134,421448.89688994276
50.0,622.8571428571429,1280.0,16.20926533943959,436939.5961433559
50.0,622.8571428571429,1445.7142857142858,16.20874885128925,449804.98752967024
50.0,622.8571428571429,1611.4285714285716,16.208276300460817,460593.2141610768
50.0,622.8571428571429,1777.1428571428573,16.207844765419804,469723.9130703742
50.0,622.8571428571429,1942.857142857143,16.207450748703923,477519.7685948436
50.0,622.8571428571429,2108.5714285714284,16.207090658806997,484230.6494694114
50.0,622.8571428571429,2274.285714285714,16.20676105545707,490051.63953983557
50.0,622.8571428571429,2440.0,16.20645876258133,495136.38817396027
50.0,622.8571428571429,2605.714285714286,16.20618090890968,499606.9853172126
50.0,622.8571428571429,2771.4285714285716,16.20592493029149,503561.2902523675
50.0,622.8571428571429,2937.1428571428573,16.205688552901304,507078.40201127477
50.0,622.8571428571429,3102.857142857143,16.20546976798567,510222.7716681606
50.0,622.8571428571429,3268.571428571429,16.205266803945587,513047.3177502311
